MsgID.STATE,1521418377.9036155,False,False
MsgID.LOCAL_VELOCITY,1521418392.9905028,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418392.9913635,10.1339674,10.2535048,-0.1729302
MsgID.LOCAL_VELOCITY,1521418392.9913635,-0.0001489,-0.0002126,0.0000599
MsgID.GLOBAL_POSITION,1521418393.2423096,-122.3973376,37.7925714,0.1330000
MsgID.LOCAL_VELOCITY,1521418393.2423096,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418393.2427175,10.1034832,10.2830744,-0.1334217
MsgID.LOCAL_VELOCITY,1521418393.2427175,-0.0002866,-0.0001502,0.0000462
MsgID.GLOBAL_POSITION,1521418393.4912965,-122.3973370,37.7925700,0.0860000
MsgID.LOCAL_VELOCITY,1521418393.4912965,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418393.4915633,9.9528608,10.3332577,-0.0862328
MsgID.LOCAL_VELOCITY,1521418393.4915633,-0.0003107,-0.0001901,0.0000419
MsgID.GLOBAL_POSITION,1521418393.7418087,-122.3973372,37.7925705,0.0390000
MsgID.LOCAL_VELOCITY,1521418393.7418087,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418393.7420909,10.0099268,10.3157930,-0.0393545
MsgID.LOCAL_VELOCITY,1521418393.7420909,-0.0003628,-0.0000045,0.0000026
MsgID.STATE,1521418393.9235027,True,True
MsgID.GLOBAL_HOME,1521418393.9360080,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418393.9910245,-122.3973374,37.7925698,-0.0020000
MsgID.LOCAL_VELOCITY,1521418393.9910245,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418393.9915688,9.9301357,10.2944136,0.0025825
MsgID.LOCAL_VELOCITY,1521418393.9915688,-0.0004002,-0.0000830,0.0000325
MsgID.GLOBAL_POSITION,1521418394.2419479,-122.3973385,37.7925698,-0.0310000
MsgID.LOCAL_VELOCITY,1521418394.2419479,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418394.2823691,9.9309673,10.2021999,0.0311505
MsgID.LOCAL_VELOCITY,1521418394.2823691,-0.0002765,-0.0000313,0.0000505
MsgID.GLOBAL_POSITION,1521418394.4926677,-122.3973406,37.7925715,-0.0460000
